datetime,description,year,month,day,hour,weekday,10min,mean_lamax,mean_laeq,mean_lceq,mean_lcpeak
2022-01-01 00:00:00,,2022,1,1,0,5,0,,,,
2022-01-01 00:10:00,,2022,1,1,0,5,10,,,,
2022-01-01 00:20:00,,2022,1,1,0,5,20,,,,
2022-01-01 00:30:00,,2022,1,1,0,5,30,,,,
2022-01-01 00:40:00,,2022,1,1,0,5,40,,,,
2022-01-01 00:50:00,,2022,1,1,0,5,50,,,,
2022-01-01 01:00:00,,2022,1,1,1,5,0,,,,
2022-01-01 01:10:00,,2022,1,1,1,5,10,,,,
2022-01-01 01:20:00,,2022,1,1,1,5,20,,,,
2022-01-01 01:30:00,,2022,1,1,1,5,30,,,,
2022-01-01 01:40:00,,2022,1,1,1,5,40,,,,
2022-01-01 01:50:00,,2022,1,1,1,5,50,,,,
2022-01-01 02:00:00,,2022,1,1,2,5,0,,,,
2022-01-01 02:10:00,,2022,1,1,2,5,10,,,,
2022-01-01 02:20:00,,2022,1,1,2,5,20,,,,
2022-01-01 02:30:00,,2022,1,1,2,5,30,,,,
2022-01-01 02:40:00,,2022,1,1,2,5,40,,,,
2022-01-01 02:50:00,,2022,1,1,2,5,50,,,,
2022-01-01 03:00:00,,2022,1,1,3,5,0,,,,
2022-01-01 03:10:00,,2022,1,1,3,5,10,,,,
2022-01-01 03:20:00,,2022,1,1,3,5,20,,,,
2022-01-01 03:30:00,,2022,1,1,3,5,30,,,,
2022-01-01 03:40:00,,2022,1,1,3,5,40,,,,
2022-01-01 03:50:00,,2022,1,1,3,5,50,,,,
2022-01-01 04:00:00,,2022,1,1,4,5,0,,,,
2022-01-01 04:10:00,,2022,1,1,4,5,10,,,,
2022-01-01 04:20:00,,2022,1,1,4,5,20,,,,
2022-01-01 04:30:00,,2022,1,1,4,5,30,,,,
2022-01-01 04:40:00,,2022,1,1,4,5,40,,,,
2022-01-01 04:50:00,,2022,1,1,4,5,50,,,,
2022-01-01 05:00:00,,2022,1,1,5,5,0,,,,
2022-01-01 05:10:00,,2022,1,1,5,5,10,,,,
2022-01-01 05:20:00,,2022,1,1,5,5,20,,,,
2022-01-01 05:30:00,,2022,1,1,5,5,30,,,,
2022-01-01 05:40:00,,2022,1,1,5,5,40,,,,
2022-01-01 05:50:00,,2022,1,1,5,5,50,,,,
2022-01-01 06:00:00,,2022,1,1,6,5,0,,,,
2022-01-01 06:10:00,,2022,1,1,6,5,10,,,,
2022-01-01 06:20:00,,2022,1,1,6,5,20,,,,
2022-01-01 06:30:00,,2022,1,1,6,5,30,,,,
2022-01-01 06:40:00,,2022,1,1,6,5,40,,,,
2022-01-01 06:50:00,,2022,1,1,6,5,50,,,,
2022-01-01 07:00:00,,2022,1,1,7,5,0,,,,
2022-01-01 07:10:00,,2022,1,1,7,5,10,,,,
2022-01-01 07:20:00,,2022,1,1,7,5,20,,,,
2022-01-01 07:30:00,,2022,1,1,7,5,30,,,,
2022-01-01 07:40:00,,2022,1,1,7,5,40,,,,
2022-01-01 07:50:00,,2022,1,1,7,5,50,,,,
2022-01-01 08:00:00,,2022,1,1,8,5,0,,,,
2022-01-01 08:10:00,,2022,1,1,8,5,10,,,,
2022-01-01 08:20:00,,2022,1,1,8,5,20,,,,
2022-01-01 08:30:00,,2022,1,1,8,5,30,,,,
2022-01-01 08:40:00,,2022,1,1,8,5,40,,,,
2022-01-01 08:50:00,,2022,1,1,8,5,50,,,,
2022-01-01 09:00:00,,2022,1,1,9,5,0,,,,
2022-01-01 09:10:00,,2022,1,1,9,5,10,,,,
2022-01-01 09:20:00,,2022,1,1,9,5,20,,,,
2022-01-01 09:30:00,,2022,1,1,9,5,30,,,,
2022-01-01 09:40:00,,2022,1,1,9,5,40,,,,
2022-01-01 09:50:00,,2022,1,1,9,5,50,,,,
2022-01-01 10:00:00,,2022,1,1,10,5,0,,,,
2022-01-01 10:10:00,,2022,1,1,10,5,10,,,,
2022-01-01 10:20:00,,2022,1,1,10,5,20,,,,
2022-01-01 10:30:00,,2022,1,1,10,5,30,,,,
2022-01-01 10:40:00,,2022,1,1,10,5,40,,,,
2022-01-01 10:50:00,,2022,1,1,10,5,50,,,,
2022-01-01 11:00:00,,2022,1,1,11,5,0,,,,
2022-01-01 11:10:00,,2022,1,1,11,5,10,,,,
2022-01-01 11:20:00,,2022,1,1,11,5,20,,,,
2022-01-01 11:30:00,,2022,1,1,11,5,30,,,,
2022-01-01 11:40:00,,2022,1,1,11,5,40,,,,
2022-01-01 11:50:00,,2022,1,1,11,5,50,,,,
2022-01-01 12:00:00,,2022,1,1,12,5,0,,,,
2022-01-01 12:10:00,,2022,1,1,12,5,10,,,,
2022-01-01 12:20:00,,2022,1,1,12,5,20,,,,
2022-01-01 12:30:00,,2022,1,1,12,5,30,,,,
2022-01-01 12:40:00,,2022,1,1,12,5,40,,,,
2022-01-01 12:50:00,,2022,1,1,12,5,50,,,,
2022-01-01 13:00:00,,2022,1,1,13,5,0,,,,
2022-01-01 13:10:00,,2022,1,1,13,5,10,,,,
2022-01-01 13:20:00,,2022,1,1,13,5,20,,,,
2022-01-01 13:30:00,,2022,1,1,13,5,30,,,,
2022-01-01 13:40:00,,2022,1,1,13,5,40,,,,
2022-01-01 13:50:00,,2022,1,1,13,5,50,,,,
2022-01-01 14:00:00,,2022,1,1,14,5,0,,,,
2022-01-01 14:10:00,,2022,1,1,14,5,10,,,,
2022-01-01 14:20:00,,2022,1,1,14,5,20,,,,
2022-01-01 14:30:00,,2022,1,1,14,5,30,,,,
2022-01-01 14:40:00,,2022,1,1,14,5,40,,,,
2022-01-01 14:50:00,,2022,1,1,14,5,50,,,,
2022-01-01 15:00:00,,2022,1,1,15,5,0,,,,
2022-01-01 15:10:00,,2022,1,1,15,5,10,,,,
2022-01-01 15:20:00,,2022,1,1,15,5,20,,,,
2022-01-01 15:30:00,,2022,1,1,15,5,30,,,,
2022-01-01 15:40:00,,2022,1,1,15,5,40,,,,
2022-01-01 15:50:00,,2022,1,1,15,5,50,,,,
2022-01-01 16:00:00,,2022,1,1,16,5,0,,,,
2022-01-01 16:10:00,,2022,1,1,16,5,10,,,,
2022-01-01 16:20:00,,2022,1,1,16,5,20,,,,
2022-01-01 16:30:00,,2022,1,1,16,5,30,,,,
2022-01-01 16:40:00,,2022,1,1,16,5,40,,,,
2022-01-01 16:50:00,,2022,1,1,16,5,50,,,,
2022-01-01 17:00:00,,2022,1,1,17,5,0,,,,
2022-01-01 17:10:00,,2022,1,1,17,5,10,,,,
2022-01-01 17:20:00,,2022,1,1,17,5,20,,,,
2022-01-01 17:30:00,,2022,1,1,17,5,30,,,,
2022-01-01 17:40:00,,2022,1,1,17,5,40,,,,
2022-01-01 17:50:00,,2022,1,1,17,5,50,,,,
2022-01-01 18:00:00,,2022,1,1,18,5,0,,,,
2022-01-01 18:10:00,,2022,1,1,18,5,10,,,,
2022-01-01 18:20:00,,2022,1,1,18,5,20,,,,
2022-01-01 18:30:00,,2022,1,1,18,5,30,,,,
2022-01-01 18:40:00,,2022,1,1,18,5,40,,,,
2022-01-01 18:50:00,,2022,1,1,18,5,50,,,,
2022-01-01 19:00:00,,2022,1,1,19,5,0,,,,
2022-01-01 19:10:00,,2022,1,1,19,5,10,,,,
2022-01-01 19:20:00,,2022,1,1,19,5,20,,,,
2022-01-01 19:30:00,,2022,1,1,19,5,30,,,,
2022-01-01 19:40:00,,2022,1,1,19,5,40,,,,
2022-01-01 19:50:00,,2022,1,1,19,5,50,,,,
2022-01-01 20:00:00,,2022,1,1,20,5,0,,,,
2022-01-01 20:10:00,,2022,1,1,20,5,10,,,,
2022-01-01 20:20:00,,2022,1,1,20,5,20,,,,
2022-01-01 20:30:00,,2022,1,1,20,5,30,,,,
2022-01-01 20:40:00,,2022,1,1,20,5,40,,,,
2022-01-01 20:50:00,,2022,1,1,20,5,50,,,,
2022-01-01 21:00:00,,2022,1,1,21,5,0,,,,
2022-01-01 21:10:00,,2022,1,1,21,5,10,,,,
2022-01-01 21:20:00,,2022,1,1,21,5,20,,,,
2022-01-01 21:30:00,,2022,1,1,21,5,30,,,,
2022-01-01 21:40:00,,2022,1,1,21,5,40,,,,
2022-01-01 21:50:00,,2022,1,1,21,5,50,,,,
2022-01-01 22:00:00,,2022,1,1,22,5,0,,,,
2022-01-01 22:10:00,,2022,1,1,22,5,10,,,,
2022-01-01 22:20:00,,2022,1,1,22,5,20,,,,
2022-01-01 22:30:00,,2022,1,1,22,5,30,,,,
2022-01-01 22:40:00,,2022,1,1,22,5,40,,,,
2022-01-01 22:50:00,,2022,1,1,22,5,50,,,,
2022-01-01 23:00:00,,2022,1,1,23,5,0,,,,
2022-01-01 23:10:00,,2022,1,1,23,5,10,,,,
2022-01-01 23:20:00,,2022,1,1,23,5,20,,,,
2022-01-01 23:30:00,,2022,1,1,23,5,30,,,,
2022-01-01 23:40:00,,2022,1,1,23,5,40,,,,
2022-01-01 23:50:00,,2022,1,1,23,5,50,,,,
2022-01-02 00:00:00,,2022,1,2,0,6,0,,,,
2022-01-02 00:10:00,,2022,1,2,0,6,10,,,,
2022-01-02 00:20:00,,2022,1,2,0,6,20,,,,
2022-01-02 00:30:00,,2022,1,2,0,6,30,,,,
2022-01-02 00:40:00,,2022,1,2,0,6,40,,,,
2022-01-02 00:50:00,,2022,1,2,0,6,50,,,,
2022-01-02 01:00:00,,2022,1,2,1,6,0,,,,
2022-01-02 01:10:00,,2022,1,2,1,6,10,,,,
2022-01-02 01:20:00,,2022,1,2,1,6,20,,,,
2022-01-02 01:30:00,,2022,1,2,1,6,30,,,,
2022-01-02 01:40:00,,2022,1,2,1,6,40,,,,
2022-01-02 01:50:00,,2022,1,2,1,6,50,,,,
2022-01-02 02:00:00,,2022,1,2,2,6,0,,,,
2022-01-02 02:10:00,,2022,1,2,2,6,10,,,,
2022-01-02 02:20:00,,2022,1,2,2,6,20,,,,
2022-01-02 02:30:00,,2022,1,2,2,6,30,,,,
2022-01-02 02:40:00,,2022,1,2,2,6,40,,,,
2022-01-02 02:50:00,,2022,1,2,2,6,50,,,,
2022-01-02 03:00:00,,2022,1,2,3,6,0,,,,
2022-01-02 03:10:00,,2022,1,2,3,6,10,,,,
2022-01-02 03:20:00,,2022,1,2,3,6,20,,,,
2022-01-02 03:30:00,,2022,1,2,3,6,30,,,,
2022-01-02 03:40:00,,2022,1,2,3,6,40,,,,
2022-01-02 03:50:00,,2022,1,2,3,6,50,,,,
2022-01-02 04:00:00,,2022,1,2,4,6,0,,,,
2022-01-02 04:10:00,,2022,1,2,4,6,10,,,,
2022-01-02 04:20:00,,2022,1,2,4,6,20,,,,
2022-01-02 04:30:00,,2022,1,2,4,6,30,,,,
2022-01-02 04:40:00,,2022,1,2,4,6,40,,,,
2022-01-02 04:50:00,,2022,1,2,4,6,50,,,,
2022-01-02 05:00:00,,2022,1,2,5,6,0,,,,
2022-01-02 05:10:00,,2022,1,2,5,6,10,,,,
2022-01-02 05:20:00,,2022,1,2,5,6,20,,,,
2022-01-02 05:30:00,,2022,1,2,5,6,30,,,,
2022-01-02 05:40:00,,2022,1,2,5,6,40,,,,
2022-01-02 05:50:00,,2022,1,2,5,6,50,,,,
2022-01-02 06:00:00,,2022,1,2,6,6,0,,,,
2022-01-02 06:10:00,,2022,1,2,6,6,10,,,,
2022-01-02 06:20:00,,2022,1,2,6,6,20,,,,
2022-01-02 06:30:00,,2022,1,2,6,6,30,,,,
2022-01-02 06:40:00,,2022,1,2,6,6,40,,,,
2022-01-02 06:50:00,,2022,1,2,6,6,50,,,,
2022-01-02 07:00:00,,2022,1,2,7,6,0,,,,
2022-01-02 07:10:00,,2022,1,2,7,6,10,,,,
2022-01-02 07:20:00,,2022,1,2,7,6,20,,,,
2022-01-02 07:30:00,,2022,1,2,7,6,30,,,,
2022-01-02 07:40:00,,2022,1,2,7,6,40,,,,
2022-01-02 07:50:00,,2022,1,2,7,6,50,,,,
2022-01-02 08:00:00,,2022,1,2,8,6,0,,,,
2022-01-02 08:10:00,,2022,1,2,8,6,10,,,,
2022-01-02 08:20:00,,2022,1,2,8,6,20,,,,
2022-01-02 08:30:00,,2022,1,2,8,6,30,,,,
2022-01-02 08:40:00,,2022,1,2,8,6,40,,,,
2022-01-02 08:50:00,,2022,1,2,8,6,50,,,,
2022-01-02 09:00:00,,2022,1,2,9,6,0,,,,
2022-01-02 09:10:00,,2022,1,2,9,6,10,,,,
2022-01-02 09:20:00,,2022,1,2,9,6,20,,,,
2022-01-02 09:30:00,,2022,1,2,9,6,30,,,,
2022-01-02 09:40:00,,2022,1,2,9,6,40,,,,
2022-01-02 09:50:00,,2022,1,2,9,6,50,,,,
2022-01-02 10:00:00,,2022,1,2,10,6,0,,,,
2022-01-02 10:10:00,,2022,1,2,10,6,10,,,,
2022-01-02 10:20:00,,2022,1,2,10,6,20,,,,
2022-01-02 10:30:00,,2022,1,2,10,6,30,,,,
2022-01-02 10:40:00,,2022,1,2,10,6,40,,,,
2022-01-02 10:50:00,,2022,1,2,10,6,50,,,,
2022-01-02 11:00:00,,2022,1,2,11,6,0,,,,
2022-01-02 11:10:00,,2022,1,2,11,6,10,,,,
2022-01-02 11:20:00,,2022,1,2,11,6,20,,,,
2022-01-02 11:30:00,,2022,1,2,11,6,30,,,,
2022-01-02 11:40:00,,2022,1,2,11,6,40,,,,
2022-01-02 11:50:00,,2022,1,2,11,6,50,,,,
2022-01-02 12:00:00,,2022,1,2,12,6,0,,,,
2022-01-02 12:10:00,,2022,1,2,12,6,10,,,,
2022-01-02 12:20:00,,2022,1,2,12,6,20,,,,
2022-01-02 12:30:00,,2022,1,2,12,6,30,,,,
2022-01-02 12:40:00,,2022,1,2,12,6,40,,,,
2022-01-02 12:50:00,,2022,1,2,12,6,50,,,,
2022-01-02 13:00:00,,2022,1,2,13,6,0,,,,
