,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-02-08 13:00:00,70.37044294102617,68.33113990298712,62.74525146796006,59.88770104671945,55.69365585907577,51.93257595098297,49.153012509573344,47.45239979576208,46.714513658412066,46.05687388307394,45.69173474597916,45.397415113607465
2022-02-08 14:00:00,73.75,71.4,65.0,61.7,57.0,52.85,49.5,47.75,47.099999999999994,46.65,46.35,46.099999999999994
2022-02-08 15:00:00,72.7,70.3,64.8,61.95,57.849999999999994,53.9,50.349999999999994,48.2,47.3,46.7,46.35,46.099999999999994
2022-02-08 16:00:00,70.45,68.65,64.2,61.7,58.05,54.3,50.849999999999994,48.75,47.85,47.25,46.95,46.7
2022-02-08 17:00:00,71.45,69.9,64.75,61.849999999999994,57.9,53.75,50.25,48.35,47.55,46.95,46.65,46.400000000000006
2022-02-08 18:00:00,72.4,70.85,65.55,62.5,58.25,53.900000000000006,50.400000000000006,48.35,47.55,46.9,46.5,46.25
2022-02-08 19:00:00,72.1,70.1,64.9,61.650000000000006,57.15,52.6,49.25,47.55,47.0,46.45,46.15,45.95
2022-02-08 20:00:00,71.75,69.95,64.85,61.45,56.55,51.8,48.349999999999994,46.95,46.45,46.0,45.75,45.55
2022-02-08 21:00:00,70.30000000000001,68.65,63.800000000000004,60.4,54.95,50.45,47.65,46.55,46.05,45.65,45.400000000000006,45.2
2022-02-08 22:00:00,69.4,67.7,62.650000000000006,59.2,53.1,48.7,46.65,45.75,45.3,44.849999999999994,44.6,44.4
2022-02-08 23:00:00,68.55000000000001,66.65,60.900000000000006,57.4,51.650000000000006,47.55,45.7,44.75,44.3,43.849999999999994,43.55,43.349999999999994
2022-02-09 00:00:00,66.5,64.05,57.7,54.0,48.85,45.85,44.55,43.75,43.35,43.0,42.7,42.5
2022-02-09 01:00:00,62.9,60.849999999999994,54.400000000000006,50.650000000000006,46.45,44.7,43.8,43.2,42.85,42.55,42.25,42.1
2022-02-09 02:00:00,59.2,56.75,49.95,47.1,44.95,44.05,43.35,42.85,42.55,42.25,42.0,41.85
2022-02-09 03:00:00,57.7,54.150000000000006,47.0,45.6,44.65,43.9,43.3,42.8,42.5,42.2,42.0,41.8
2022-02-09 04:00:00,57.4,53.35,46.400000000000006,45.6,44.75,44.05,43.45,42.95,42.650000000000006,42.349999999999994,42.150000000000006,41.95
